uid,date,tags,category,tracking number,title,text,region,attack on,complex attack,reporting unit,unit name,type of unit,friendly WIA,friendly KIA,HN WIA,HN KIA,Civ WIA,Civ KIA,Enemy WIA,Enemy KIA,Enemy detained,MGRS,Latitude,Longitude,Originator group,Updated by group,unk1,unk2,Affiliation,DColor,Classification
9E59EF9F-1517-911C-C557931921140553,2009-07-17 05:15:00,Enemy Action,SAFIRE,20090717051542SXD9280069400,(ENEMY ACTION) SAFIRE RPT  (Small Arms) TF PALEHORSE : 0 INJ/DAM,"TF PALEHORSE Reports SIGNIFICANT SAFIRE (SAF/HIT) IVO Honaker-Miracle, Konar
170515ZJUL09
42SXD9280069400
ISAF # 07-XXXX
Friendly Mission/Operation Task and Purpose:
MSN: NLT 17 0030z JUL 09 TF PALEHORSE conducts reconnaissance operations in Dangam, Marawara, and Dara Noor to identify and disrupt AAF activity and enhance TF CHOSIN FOM
Narrative of major events:
0030Z Depart JAF.
0040Z - 0210Z NAI Recon, NSTR
0225Z L/U with Honcho element at Abad.
0255Z Honcho picks up All American 6 in KOP.
0315Z Honcho L/U w/Attack element, SWT 1 discontinues escort.
0410Z SWT 1 refuel at Abad, goes to REDCON 3.
0445Z SWT 1 receives call that ChosIn 39 was taking SAF and RPG from the north and east in the Watapor valley.
0450Z on station in Watapur valley.  SWT conducted numerous engagement passes to suppress AAF position IVO 42S XD 928 694
0515Z as the SWT was turning outbound following their second pass over XD 928 694 lead AC was hit by enemy fire from vic XD 934 700. The flight immediately returned to FOB Wright (Asadabad) to assess damage.
0930Z SWT 1 returns to JAF, MC.

TF PALEHORSE S2 Assessment: AAF are continuing to target A/C, armed or not, across AO Mountain Warrior.  Within the last 72 hours there have been 11 flights engaged by AAF in AO Mountain Warrior.  Four of these occurred on 15 July 09 during an attack against a CF dismounted patrol across the river from Matin Village near the Shuryak Valley.  SIGINT intercepted after this engagement indicated separate C2 elements had coordinated their actions to increase the lethality of the attack in the Watapor Valley.  Prior to that attack AAF cells had rarely conducted sustained attacks in the Pech Valley in the face of R/W and F/W CAS support.  So far there have been five reported SAFIRE incidents during the 17 July 09 attack in the Watapor Valley, which has lasted over eight hours.  HUMINT reporting for the last seven days has identified foreign fighters and resupply of weapons and ammunition moving into the Shigal and Watapor Valleys.  The presence of these fighters as well as the sustained engagement on 15 July 09 may account for the sustained engagement today.  Based on the reports from the crew, damage to the aircraft, and recovered rounds, it is clear SWT 1 was engaged by a DShK.  Based on the angle of the impact and angle of the aircraft it is likely that the system was emplaced to the east of the Watapor, level to or above the aircraft.  HUMINT reporting regularly indicates DShKs are present in the northern reaches of the Watapor Valley.  This is the first known use of this system south of Qatar Kala Village.  This move south is likely due to LN pressure following LN casualties caused by AAF during ambushes against CF convoys to Qatar Kala village in March 09.  The increase in SAFIRE events has been matched with an increase in different engagement methods and weapons systems.  Aircraft have been targeted with IDF systems on HLZs on four occasions in the last thirty days.  Aircraft have been targeted offensively in flight (separate from ground engagements) on three occasions in the last four days.  Aircraft continue to be targeted when conducting CCAs.  This increase indicates AAF are seeking out engagements to down an aircraft to achieve a significant IO victory and gain operational momentum.  This increase also indicates AAF in many areas of N2KL are not deterred by the presence of attack and scout aircraft.  The highest threat areas remain the same: the Kamdesh Valley and Pech Valley.   
",RC EAST,ENEMY,,TF THUNDER SIGACTS Staff,TF PALEHORSE,CF,0,0,0,0,0,0,0,0,0,42SXD9280069400,34.94879532,71.11135864,TF THUNDER SIGACTS Staff,A SIGACTS MANAGER,,,ENEMY,RED,SECRET
B780A05F-1517-911C-C5500D136F025A4A,2009-07-17 06:25:00,Explosive Hazard,Unexploded Ordnance,20090717143942SVC4545611425,(EXPLOSIVE HAZARD) UNEXPLODED ORDNANCE RPT    : 0 INJ/DAM,"On 17JUL09, 741/2 traveled to OCC-P to pick up a fuze found in Ghazni Province.  Exact location is unknown",RC EAST,ENEMY,,741/2,,CF,0,0,0,0,0,0,0,0,0,42SVC4545611425,33.54104996,68.4125061,J3 ORSA,J3 ORSA,,,ENEMY,RED,SECRET
9837FC20-0347-4695-87AE-C574012B5CF4,2009-07-02 13:45:00,Enemy Action,Direct Fire,41RPQ14681969322009-07#0154.01,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) B COY 4 RIFLES : 0 INJ/DAM,"B COY 4 RIFLES reported while providing FP to PB PARAANG, INS engaged with SAF from FP at GR 41R PQ 14832 96391. FF returned fire with GPMG.

UPDATE 2251D* 
NFTR. No casualties or damage reported.

***Event closed at 2254D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,B COY 4 RIFLES,CF,0,0,0,0,0,0,0,0,0,41RPQ1468196932,31.60178566,64.20889282,RC (S),A SIGACTS MANAGER,,,ENEMY,RED,SECRET
5158174E-B216-845E-77C2CCBCD919F18D,2009-07-03 16:11:00,Enemy Action,Direct Fire,20090703204142SWC1119353333,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) ANP W CF : 3 HNSF WIA ,"Death dealer 6 and ANP came under DF from an unknown number of PAX in Pol-E-Alam near the village of Hesarak. AWTs were spun up but were unable to indentify the enemy.  3X ANP WIA ground CASEVAC to Shank E
",RC EAST,ENEMY,,TF Spartan SIGACTS Manager,ANP w CF,ANSF / CF,0,0,3,0,0,0,0,0,0,42SWC1119353333,33.92036438,69.12109375,TF Spartan SIGACTS Manager,J3 ORSA,,,ENEMY,RED,SECRET
0EC46993-0828-493E-924E-204CA738F899,2009-07-03 16:21:00,Enemy Action,Indirect Fire,41RQQ72200896102009-07#0275.01,(ENEMY ACTION) INDIRECT FIRE RPT   JDOC  : 0 INJ/DAM,"JDOC reported that FF observed a explosive outside wire. (suspected IDF attack POO 41R QQ 7666 9592, POI 7220 8961). FF deployed to investigate the site. No casualties or damage reported.

***Event closed at 040011D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,JDOC ,CF,0,0,0,0,0,0,0,0,0,41RQQ7220089610,31.50932312,65.86608124,RC (S),J3 ORSA,,,ENEMY,RED,SECRET
EA84F63D-9D90-4D8B-A0D4-3569F20AA3E9,2009-07-05 17:10:00,Explosive Hazard,Unknown Explosion,41RPR27463120572009-07#0460,(EXPLOSIVE HAZARD) UNKNOWN EXPLOSION RPT   2 COY 1 WG : 0 INJ/DAM,"At 052140D*, 2 COY 1 WG reported whil conducting a NFO ISO OP PANCHAI PALANG, FF observed an explosion assessed to be an RPG round or a detonated IED. FF continue observing area in order to PID INS activity. No casualties or damage reported.",RC SOUTH,ENEMY,,TF PALADIN LNO,2 COY 1 WG,CF,0,0,0,0,0,0,0,0,0,41RPR2746312057,31.73686409,64.3455658,RC (S),J3 ORSA,,,ENEMY,RED,SECRET
50804685-1517-911C-C503913CB4DF720B,2009-07-06 07:30:00,Explosive Hazard,IED Found/Cleared,20090706073042SVB4799288175,(EXPLOSIVE HAZARD) IED FOUND/CLEARED RPT  (Components) POL BG : 0 INJ/DAM,"TF White Eagle reported that while conducting a NFO patrol, FF found a poss IED Pol EOD deployed to site confirmed and BiP an IED.  No casualties or damage reported.  NFI att.

ISAF # 07-0541
",RC EAST,ENEMY,,TF White Eagle / TF East JOC Watch,Pol BG,CF,0,0,0,0,0,0,0,0,0,42SVB4799288175,33.33147812,68.44116974,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
3E4A0EE1-A6BC-4C59-A8A8-EB4531387576,2009-07-07 16:00:00,Enemy Action,Direct Fire,41RPR39700158702009-07#0653,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) B COY GHR : 0 INJ/DAM,"B COY GHR reported while conducting an offensive patrol ISO OP PANCHAI PALANG II, INS engaged with SAF 41R PR 4039 1508. FF returned fire with LMG. Contact ceased. FF continued on task. No casualties or damage reported.

***Event closed at 2130D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,B COY GHR,CF,0,0,0,0,0,0,0,0,0,41RPR3970015870,31.76982498,64.47525787,RC (S),A SIGACTS MANAGER,,,ENEMY,RED,SECRET
5964EF49-1517-911C-C51EA2B58BF99BEC,2009-07-08 07:15:00,Explosive Hazard,IED Found/Cleared,20090708071541RPR3955615242,(EXPLOSIVE HAZARD) IED FOUND/CLEARED RPT  (VOIED) B CO GHR : 0 INJ/DAM,"B CO GHR reported that while conducting a NFO patrol, they found a VOIED (PP). No casualties or damage reported.  Embedded EOD will deal with the device. The IED was cleared. NFI att.

ISAF # 07-0693
",RC SOUTH,ENEMY,,TF East JOC Watch,B CO GHR,CF,0,0,0,0,0,0,0,0,0,41RPR3985817154,31.78138542,64.47711182,TF East JOC Watch,Task Force South N-3,,,ENEMY,RED,SECRET
903D4E56-F538-4ECB-81D5-8D4CD890B5FF,2009-07-09 19:38:00,Enemy Action,Direct Fire,41RPR45900038002009-07#0845,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) OCCP  : 0 INJ/DAM,"OCCP reported that INS engaged ANP CP from GR 41R PR 455 043. ANP returned fire with organic weapons, firing has ceased, ANP observing.

UPDATE 0602D* 
NFTR. No casualties or damage reported.

***Event closed at 0602D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,OCCP ,ANSF,0,0,0,0,0,0,0,0,0,41RPR4590003800,31.66019058,64.53890991,RC (S),A SIGACTS MANAGER,,,ENEMY,RED,NATO CONFIDENTIAL Releasable to GCTF
DCC615B9-00A6-4F18-8466-762F309B7DB3,2009-07-09 20:30:00,Enemy Action,Direct Fire,41SNR12657623492009-07#0848,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) F COY 2/8 USMC : 1 UE KIA ,"***OPS BOX TRIPOLI*** 
F Coy 2/8 USMC reported while providing FP to COP BARROWS, 1 x INS engaged with SAF. FF returned fire with organic weapons and killed 1 x INS. BDA: 1 x INS killed.1 Killed None(None) Insurgent
",RC SOUTH,ENEMY,,A SIGACTS MANAGER,F Coy 2/8 USMC,CF,0,0,0,0,0,0,0,1,0,41SNR1265762349,32.19762421,63.13428879,RC (W),A SIGACTS MANAGER,,,ENEMY,RED,SECRET
BF3BB5E5-8498-429A-A33D-FF1100033C11,2009-07-09 20:35:00,Enemy Action,Direct Fire,41RPR20700049002009-07#0864,(ENEMY ACTION) DIRECT FIRE RPT  (Small Arms) R COY 4 RIFLES  : 0 INJ/DAM,"R Coy 4 RIFLES reported that while conducting a NFO patrol, FF were engaged by INS with SAF from 41R PR 20702 04981. FF responded with 1 x ILLUM mortar and SAF. No casualties or damage reported.

***Event closed at 0845D*",RC SOUTH,ENEMY,,A SIGACTS MANAGER,R Coy 4 RIFLES ,,0,0,0,0,0,0,0,0,0,41RPR2070004900,31.67304039,64.2733078,RC (S),A SIGACTS MANAGER,,,ENEMY,RED,SECRET
3593A8A2-1517-911C-C5B6371732317F65,2009-07-01 07:55:00,Explosive Hazard,IED Found/Cleared,20090701075541RPR3966517087,(EXPLOSIVE HAZARD) IED FOUND/CLEARED RPT  (VOIED) B CO. GHR : 0 INJ/DAM,"B CO. GHR reported that while conducting a NFO patrol, FF found a possible IED.  No casualties or damage reported.  At 1201Z, FF found another possible VOIED(PP).  Both devices exploited by EOD.  No casualties or damage reported.  NFTR.  Event closed at 2206Z.

ISAF # 07-0023
",RC SOUTH,ENEMY,,TF East JOC Watch,B CO. GHR,CF,0,0,0,0,0,0,0,0,0,41RPR3966517087,31.78080559,64.47506714,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
514795D7-FC57-6C0B-04700F053D7DE5F1,2009-07-01 00:41:00,Suspicious Incident,Other,20090701004142SVC8168602610,(SUSPICIOUS INCIDENT) OTHER RPT   3/10 3BCT S2 : 0 INJ/DAM,"""S: 1 PAX
A: SUSPCIOUS ACTIVITY ALONG ROUTE GEORGIA
L: VC 8168 6261
T: 1959Z
R: WARNING SHOT FIRED BY 1/A
EVENT OPEN: 2000Z
""
",RC EAST,ENEMY,,TF Spartan SIGACTS Manager,3/10 3BCT S2,CF,0,0,0,0,0,0,0,0,0,42SVC8168602610,33.46278,68.80291748,TF Spartan SIGACTS Manager,A SIGACTS MANAGER,,,ENEMY,RED,SECRET
0x080e0000012231c10fec160d2fab9f88,2009-07-01 00:43:18,Friendly Action,Medevac,20096104342SWD1184010740,(FRIENDLY ACTION) MEDEVAC RPT   ISAF : 0 INJ/DAM,"Event Title:N7 0025Z
Zone:null
Placename:MM(E)-0701A ROF: BAF - MOR - BAF
Outcome:null

 BEAST 35 9-LINE TO FOLLOW..
 LINE 1 - 42SWD 1184 1074
LINE 2 - BEAST 35 FM 52.25
LINE 3 - 2 X URGENT, 2 X ROUTINE
00:25)LINE 4 - NONE
LINE 5 - 2 X LITTER, 2 X AMB
 (00:25) LINE 6 - NONE
 LINE 7 - SMOKELINE 8 - ANA
 LINE 9 - PICKUP HLZ AT FB MOREHEAD 

MM(E) 07-01A DO47(964) HN55(830) W/D MOR
(01:04)MM(E) 07-01A DO47(964) HN55(830) W/U MOR
(01:18)MM(E) 07-01A DO47(964) HN55(830) W/D BAF MC",RC CAPITAL,FRIEND,,A SIGACTS MANAGER,ISAF,CF,0,0,0,0,0,0,0,0,0,42SWD1184010740,34.43809128,69.12887573,,A SIGACTS MANAGER,,,FRIEND,BLUE,SECRET
340DCE63-1517-911C-C5096006A7CB2211,2009-07-01 00:55:00,Explosive Hazard,IED Explosion,20090701005541SPR5354378014,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (VOIED) 206 SQN 23 PNR : 0 INJ/DAM,"RC South reported an Unknown Explosion.  FF reported that while conducting a NFO patrol they suffered an Unknown explosion causing damage to 1x MASTIFF vehicle.  FF requested support to recover damaged vehicle.  No casualties reported.  At 0936Z, the damaged Mastiff had a blown off axle and fuel tank.  Recovery of vehicle in progress.  NFTR.  Event closed at 0937Z.

Update:  EOD assessed IED as VOIED. (See attached EOD report.)

ISAF # 07-0003
",RC SOUTH,ENEMY,,TF H / TF East JOC Watch,206 SQN 23 PNR,CF,0,0,0,0,0,0,0,0,0,41SPR5354378014,32.32846832,64.63130951,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
33FB7388-1517-911C-C537908759A5C160,2009-07-01 01:15:00,Explosive Hazard,IED Explosion,20090701011542SVB8497579020,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (VOIED) 541ST ENG CO IVO  (ROUTE IDAHO): 0 INJ/DAM,"RC East reported an IED Strike.  FF reported that while conducting a RCP they struck an IED.  IED was assessed to be in culvert. 1x MRAP with front axle blown.  FF will self recover with wrecker.  No casualties reported.  NFI att.
At 0244Z, EOD vehicle is pulled out of blast hole.  IED assessed to be a VOIED(PP) with 30-40 lbs of UBE in ammo cans.  The IED was with a cell phone rigged to arm it, cell phone is still powered with a voicemail.  Site is clear and hole is filled in.  RCP is hooking up JERRV to Wrecker and vehicle 17 (previously down) to another MRAP.  RCP checked surrounding qalats and no one is around.   FF CM.  NFTR.  Event closed.

ISAF # 07-0002
",RC EAST,ENEMY,,TF 1 Geronimo / TF East JOC Watch,541st Eng Co,CF,0,0,0,0,0,0,0,0,0,42SVB8497579020,33.25005341,68.83870697,TF East JOC Watch,J3 ORSA,,,ENEMY,RED,SECRET
4B7E0BE2-7BA7-4883-AB03-4F1AB5F8A652,2009-07-01 01:15:00,Explosive Hazard,IED Suspected,41RPR42787131942009-07#0001.02,(EXPLOSIVE HAZARD) IED SUSPECTED RPT   A CO LIGHT DRAGOONS : 0 INJ/DAM,"A COY Light Dragoons reported that while conducting a NFO patrol, FF observed a green square covered in plastic (POSS IED). FF marked and avoided the place. No casualties or damage reported.

UPDATE 1052D*
FF have marked & avoided the IED, EOD are aware. 

***Event closed at 1055D*",RC SOUTH,ENEMY,,TF PALADIN LNO,A Co Light Dragoons,ANSF,0,0,0,0,0,0,0,0,0,41RPR4278713194,31.74530792,64.50745392,RC (S),TF PALADIN LNO,,,ENEMY,RED,SECRET
